# bench_paper_fusion — NVIDIA GeForce RTX 5090, reps=50, dtype=both
CHECK shape=12x4 dtype=f32 impl=fused maxerr=6.885e-08
CHECK shape=12x4 dtype=f32 impl=chain maxerr=5.251e-08
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=fused_tb32 ns=13817.60
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=fused_tb128 ns=7566.08
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1 impl=chain ns=20822.40
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=fused_tb32 ns=856.96
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=fused_tb128 ns=469.72
RESULT op=riccati dtype=f32 NX=12 NU=4 B=16 impl=chain ns=1331.28
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=fused_tb32 ns=215.56
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=fused_tb128 ns=117.88
RESULT op=riccati dtype=f32 NX=12 NU=4 B=64 impl=chain ns=326.22
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=fused_tb32 ns=53.50
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=fused_tb128 ns=29.81
RESULT op=riccati dtype=f32 NX=12 NU=4 B=256 impl=chain ns=81.74
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1024 impl=fused_tb32 ns=14.37
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1024 impl=fused_tb128 ns=9.33
RESULT op=riccati dtype=f32 NX=12 NU=4 B=1024 impl=chain ns=26.49
RESULT op=riccati dtype=f32 NX=12 NU=4 B=4096 impl=fused_tb32 ns=7.32
RESULT op=riccati dtype=f32 NX=12 NU=4 B=4096 impl=fused_tb128 ns=5.84
RESULT op=riccati dtype=f32 NX=12 NU=4 B=4096 impl=chain ns=14.33
CHECK shape=14x7 dtype=f32 impl=fused maxerr=1.105e-07
CHECK shape=14x7 dtype=f32 impl=chain maxerr=1.159e-07
RESULT op=riccati dtype=f32 NX=14 NU=7 B=1 impl=fused_tb32 ns=32056.32
RESULT op=riccati dtype=f32 NX=14 NU=7 B=1 impl=fused_tb128 ns=13831.04
RESULT op=riccati dtype=f32 NX=14 NU=7 B=1 impl=chain ns=22604.80
RESULT op=riccati dtype=f32 NX=14 NU=7 B=16 impl=fused_tb32 ns=2008.16
RESULT op=riccati dtype=f32 NX=14 NU=7 B=16 impl=fused_tb128 ns=863.40
RESULT op=riccati dtype=f32 NX=14 NU=7 B=16 impl=chain ns=1419.20
RESULT op=riccati dtype=f32 NX=14 NU=7 B=64 impl=fused_tb32 ns=501.29
RESULT op=riccati dtype=f32 NX=14 NU=7 B=64 impl=fused_tb128 ns=214.20
RESULT op=riccati dtype=f32 NX=14 NU=7 B=64 impl=chain ns=359.79
RESULT op=riccati dtype=f32 NX=14 NU=7 B=256 impl=fused_tb32 ns=125.32
RESULT op=riccati dtype=f32 NX=14 NU=7 B=256 impl=fused_tb128 ns=56.06
RESULT op=riccati dtype=f32 NX=14 NU=7 B=256 impl=chain ns=92.24
RESULT op=riccati dtype=f32 NX=14 NU=7 B=1024 impl=fused_tb32 ns=32.36
RESULT op=riccati dtype=f32 NX=14 NU=7 B=1024 impl=fused_tb128 ns=17.44
RESULT op=riccati dtype=f32 NX=14 NU=7 B=1024 impl=chain ns=33.85
RESULT op=riccati dtype=f32 NX=14 NU=7 B=4096 impl=fused_tb32 ns=16.37
RESULT op=riccati dtype=f32 NX=14 NU=7 B=4096 impl=fused_tb128 ns=11.84
RESULT op=riccati dtype=f32 NX=14 NU=7 B=4096 impl=chain ns=20.21
CHECK shape=36x12 dtype=f32 impl=fused maxerr=6.932e-08
CHECK shape=36x12 dtype=f32 impl=chain maxerr=1.024e-07
RESULT op=riccati dtype=f32 NX=36 NU=12 B=1 impl=fused_tb32 ns=110042.24
RESULT op=riccati dtype=f32 NX=36 NU=12 B=1 impl=fused_tb128 ns=37472.00
RESULT op=riccati dtype=f32 NX=36 NU=12 B=1 impl=chain ns=30486.40
RESULT op=riccati dtype=f32 NX=36 NU=12 B=16 impl=fused_tb32 ns=6880.16
RESULT op=riccati dtype=f32 NX=36 NU=12 B=16 impl=fused_tb128 ns=2376.72
RESULT op=riccati dtype=f32 NX=36 NU=12 B=16 impl=chain ns=1825.20
RESULT op=riccati dtype=f32 NX=36 NU=12 B=64 impl=fused_tb32 ns=1720.03
RESULT op=riccati dtype=f32 NX=36 NU=12 B=64 impl=fused_tb128 ns=596.81
RESULT op=riccati dtype=f32 NX=36 NU=12 B=64 impl=chain ns=456.15
RESULT op=riccati dtype=f32 NX=36 NU=12 B=256 impl=fused_tb32 ns=436.52
RESULT op=riccati dtype=f32 NX=36 NU=12 B=256 impl=fused_tb128 ns=157.32
RESULT op=riccati dtype=f32 NX=36 NU=12 B=256 impl=chain ns=128.95
RESULT op=riccati dtype=f32 NX=36 NU=12 B=1024 impl=fused_tb32 ns=217.58
RESULT op=riccati dtype=f32 NX=36 NU=12 B=1024 impl=fused_tb128 ns=81.27
RESULT op=riccati dtype=f32 NX=36 NU=12 B=1024 impl=chain ns=64.82
RESULT op=riccati dtype=f32 NX=36 NU=12 B=4096 impl=fused_tb32 ns=188.81
RESULT op=riccati dtype=f32 NX=36 NU=12 B=4096 impl=fused_tb128 ns=68.95
RESULT op=riccati dtype=f32 NX=36 NU=12 B=4096 impl=chain ns=47.16
CHECK shape=48x16 dtype=f32 impl=fused maxerr=8.938e-08
CHECK shape=48x16 dtype=f32 impl=chain maxerr=6.813e-08
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1 impl=fused_tb32 ns=195692.80
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1 impl=fused_tb128 ns=61279.36
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1 impl=chain ns=30055.04
RESULT op=riccati dtype=f32 NX=48 NU=16 B=16 impl=fused_tb32 ns=12242.88
RESULT op=riccati dtype=f32 NX=48 NU=16 B=16 impl=fused_tb128 ns=3886.32
RESULT op=riccati dtype=f32 NX=48 NU=16 B=16 impl=chain ns=1894.44
RESULT op=riccati dtype=f32 NX=48 NU=16 B=64 impl=fused_tb32 ns=3060.70
RESULT op=riccati dtype=f32 NX=48 NU=16 B=64 impl=fused_tb128 ns=968.89
RESULT op=riccati dtype=f32 NX=48 NU=16 B=64 impl=chain ns=473.36
RESULT op=riccati dtype=f32 NX=48 NU=16 B=256 impl=fused_tb32 ns=765.84
RESULT op=riccati dtype=f32 NX=48 NU=16 B=256 impl=fused_tb128 ns=253.58
RESULT op=riccati dtype=f32 NX=48 NU=16 B=256 impl=chain ns=145.99
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1024 impl=fused_tb32 ns=755.38
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1024 impl=fused_tb128 ns=244.85
RESULT op=riccati dtype=f32 NX=48 NU=16 B=1024 impl=chain ns=82.57
RESULT op=riccati dtype=f32 NX=48 NU=16 B=4096 impl=fused_tb32 ns=625.33
RESULT op=riccati dtype=f32 NX=48 NU=16 B=4096 impl=fused_tb128 ns=200.80
RESULT op=riccati dtype=f32 NX=48 NU=16 B=4096 impl=chain ns=71.96
CHECK shape=12x4 dtype=f64 impl=fused maxerr=1.388e-16
